1310388723.921333,-7,-7,-1.536347,-0.001867,
1310388724.489448,-7,-7,-1.533615,0.001373,
1310388724.766709,-7,-7,-1.533525,0.000238,
1310388725.037467,-7,-7,-1.533715,0.001944,
1310388725.289159,-7,-7,-1.530883,0.004539,
1310388725.526529,-7,-7,-1.531736,-0.001228,
1310388725.771870,-7,-7,-1.528952,0.000245,
1310388726.006839,-7,-7,-1.533677,0.002632,
1310388726.222775,-7,-7,-1.536347,-0.001867,
1310388727.647544,-7,-7,-1.530883,0.004539,
1310388727.868362,-7,-7,-1.531736,-0.001228,
1310388728.101776,-7,-7,-1.528952,0.000245,
1310388728.333388,-7,-7,-1.533677,0.002632,
1310388729.565291,-7,-7,-1.536347,-0.001867,
1310388729.816393,-7,-7,-1.533715,0.001944,
1310388730.027704,-7,-7,-1.530883,0.004539,
1310388730.247627,-7,-7,-1.531736,-0.001228,
1310388730.464759,-7,-7,-1.528952,0.000245,
1310388730.681279,-7,-7,-1.533677,0.002632,
1310388730.898168,-7,-7,-1.536347,-0.001867,
1310388731.623875,-7,-7,-1.532252,-0.002926,
1310388731.873248,-7,-7,-1.533525,0.000238,
1310388732.145421,-7,-7,-1.533715,0.001944,
1310388732.392654,-7,-7,-1.530883,0.004539,
1310388732.601928,-7,-7,-1.531736,-0.001228,
1310388732.844556,-7,-7,-1.528952,0.000245,
1310388733.082316,-7,-7,-1.533677,0.002632,
1310388733.349866,-7,-7,-1.536347,-0.001867,
1310388733.986666,-7,-7,-1.533615,0.001373,
1310388734.243676,-7,-7,-1.533525,0.000238,
1310388734.514387,-7,-7,-1.533715,0.001944,
1310388734.760808,-7,-7,-1.530883,0.004539,
1310388734.995698,-7,-7,-1.531736,-0.001228,
1310388735.246053,-7,-7,-1.528952,0.000245,
1310388735.504607,-7,-7,-1.533677,0.002632,
1310388735.717464,-7,-7,-1.536347,-0.001867,
1310388736.387207,-7,-7,-1.532252,-0.002926,
1310388736.625532,-7,-7,-1.533839,0.001935,
1310388736.906119,-7,-7,-1.533715,0.001944,
1310388737.150267,-7,-7,-1.530883,0.004539,
1310388737.391091,-7,-7,-1.531736,-0.001228,
1310388737.683554,-7,-7,-1.528952,0.000245,
1310388737.887430,-7,-7,-1.536347,-0.001867,
1310388738.713378,-7,-7,-1.533615,0.001373,
1310388738.984508,-7,-7,-1.533525,0.000238,
1310388739.242868,-7,-7,-1.533715,0.001944,
1310388739.626154,-7,-7,-1.532972,0.001034,
1310388739.860799,-7,-7,-1.530436,0.001228,
1310388740.153938,-7,-7,-1.532523,-0.006320,
1310388740.384872,-7,-7,-1.536347,-0.001867,
1310388741.105046,-7,-7,-1.532252,-0.002926,
1310388741.356980,-7,-7,-1.533525,0.000238,
1310388741.629090,-7,-7,-1.533715,0.001944,
1310388741.886865,-7,-7,-1.530883,0.004539,
1310388742.141988,-7,-7,-1.531736,-0.001228,
1310388742.410421,-7,-7,-1.528952,0.000245,
1310388742.649721,-7,-7,-1.536347,-0.001867,
1310388743.507025,-7,-7,-1.530448,0.000448,
1310388743.782475,-7,-7,-1.533839,0.001935,
1310388744.064757,-7,-7,-1.533715,0.001944,
1310388744.284567,-7,-7,-1.530883,0.004539,
1310388744.524313,-7,-7,-1.531736,-0.001228,
